DISCIPLINE,ASSO_NOM,site web,QUARTIERS,COMPLEXE,UNITE FONCTIONNELLE,RUE_LIBELLE,UF_CP,UF_Commune,0-3ans,3-6ans,6-12ans,12-15ans,juniors16-20ans,adultes,séniors,handicapés,geolocalisation,
VOL RADIO COMMANDE,MODEL AIR CLUB LANGUEDOCIEN,,Rangueil - CHR - Facultés,Nouveau Complexe Municipal,Base de sports et de loisirs Pech David,Chemin des côtes de Pech David,,TOULOUSE,Non,Non,Non,Non,Non,Oui,Oui,Non,43.589766, 1.415235
AIKIDO,Espace Aïkido,espaceaikido.free.fr,Juncasse - Argoulets,LES ARGOULETS,MAISON DU JUDO ARGOULETS,Rue Dinetard,31500.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,43.678769, 1.450277
BASKET-BALL,ETOILE SPORTIVE TOULOUSE CASSELARDIT,,Les Pradettes,ENSEMBLE MARCEL CERDAN,COSEC MARCEL CERDAN,Chemin de la Cépière,31100.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Non,Non,43.613165, 1.324236
BOWLING,TCMS OMNISPORT - TOULOUSE CHEMINOT MARENGO SPORTS,,Minimes,COMPLEXE PRIVÉ,Bowling des Minimes,Avenue des Minimes,31200.0,Toulouse,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,43.58071, 1.4195
CYCLOTOURISME,TOAC section CYCLISME,toac.cyclisme.free.fr/,,,,,,,Non,Non,Non,Non,Oui,Oui,Oui,Non,43.693459, 1.268659
gymnastique volontaire,TOULOUSE GYMNASTIQUE VOLONTAIRE,,Arnaud Bernard,LYCEE ST SERNIN MAISON MUTILE,GYMNASE SAINT SERNIN,Place Saint Sernin,31000.0,TOULOUSE,Non,Non,Non,Non,Non,Oui,Oui,Non,43.609286, 1.458299
équitation,PONEY CLUB DE LA SEILLONNE,,,COMPLEXE PRIVÉ,Poney Club de la Seillonne,,31130.0,Pin Balma,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,43.609568, 1.497847
plongée,TCMS section PLONGEE,,,,,,,,Non,Non,Non,Non,Oui,Oui,Non,Non,43.698157, 1.225098
FOOTBALL,ASSOCIATION SPORTIVE TOULOUSE LARDENNE,lardenneac.site.voila.fr,,PETIT CAPITOLE,TERRAIN DE FOOTBALL A 7 PETIT CAPITOLE,,31100.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.604268, 1.441019
FOOTBALL,ASSOCIATION SPORTIVE TOULOUSE MIRAIL FOOTBALL,,,ZONE DE LOISIRS DE LA MOUNEDE,TERRAIN DE FOOTBALL A 7 ENGAZONNE LA MOUNEDE,,31100.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.604268, 1.441019
FOOTBALL,TOULOUSE RANGUEIL FOOTBALL CLUB,www.trfc.free.fr,Sauzelong - Rangueil,ENSEMBLE RANGUEIL,TERRAIN DE FOOTBALL A 11 RANGUEIL,Rue de Nîmes,31400.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Non,Non,43.576366, 1.463547
FOOTBALL,TOULOUSE SAINT JO,www.toulousestjofooball.eu,Côte Pavée,TERRAIN DE SPORTS LAFILAIRE,TERRAIN DE SPORT SERGENT VIGNE,Chemin de Lafilaire,31500.0,TOULOUSE,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,43.596067, 1.472423
gymnastique artistique,AVENIR ETIENNE BILLIERES,shirka2@free.fr,Les Pradettes,ENSEMBLE MARCEL CERDAN,COSEC MARCEL CERDAN,Chemin de la Cépière,31100.0,TOULOUSE,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,43.551059, 1.274041
karaté,TCMS section KARATE,tcmskarate.free.fr,,,,,,,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.604268, 1.441019
NIHON TAI-JITSU,ASCGMP - ASSOCIATION SPORTIVE & CULTURELLE DE LA GENDARMERIE MIDI PYRENEES - SECTION COURREGE,,,,,,,,Non,Non,Non,Non,Oui,Oui,Oui,Non,,
randonnée,ASSOCIATION PYRENEES CLUB,www.pyrenees-club.asso.fr,,Extérieurs de Toulouse,Les Pyrénées,,,Dans les Pyrénées,Non,Non,Non,Non,Oui,Oui,Oui,Non,43.604268, 1.441019
BOXE THAILANDAISE / MUAY THAI,ROYAL BOXING,www.royalnaresuanboxing.com,Patte d'Oie,COMPLEXE PRIVÉ,Royal Naresuan Boxing,Rue Adolphe Coll,31300.0,Toulouse,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.598025, 1.424785
pelote basque,TOAC - TOULOUSE OLYMPIQUE AVIATION CLUB - OMNISPORT,,Sept Deniers,Complexe du TOAC,Fronton du TOAC,Chemin de Garric,31200.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,43.674408, 1.435951
pelote basque,TOULOUSE PILOTA,,Juncasse - Argoulets,LES ARGOULETS,PELOTE BASQUE ARGOULETS,Rue Dinetard,31500.0,TOULOUSE,Non,Non,Non,Non,Non,Oui,Oui,Non,43.64429, 1.446693
pétanque,PETANQUE CLUB CASSELARDIT,,Casselardit,BATIMENTS SUR DOMAINE PUBLIC,EQUIPEMENT SPORTIF DE PROXIMITE BAUDIN CASSELARDIT,Place Jean-Baptiste Baudin,31300.0,TOULOUSE,Non,Non,Non,Non,Oui,Oui,Oui,Oui,43.604459, 1.4095550000000001
randonnée Pédestre,LES RANDONNEURS TOULOUSAINS,www.randonneurstoulousains.fr,,,,,,,Non,Non,Non,Non,Non,Oui,Oui,Non,43.604268, 1.441019
BOULES LYONNAISES,AMICALE BOULISTE COLONNE MARENGO,,,CIMETIERE TERRE CABADE,BOULODROME FRANCOIS CARBONNE,,31500.0,TOULOUSE,Non,Non,Non,Non,Non,Oui,Oui,Oui,43.604268, 1.441019
BOULES LYONNAISES,CLUB BOULISTE TOULOUSAIN,,Juncasse - Argoulets,MAIRIE ANNEXE ROSERAIE,BOULODROME COUVERT RENE CANNIZZO,Avenue du Parc,31500.0,TOULOUSE,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,43.621158, 1.47173
BEACH VOLLEY,BEACH VOLLEY TOULOUSAIN,www.beachvolleytoulousain.com,Ramier,PARC DES SPORTS,TERRAINS JEUX PARC DES SPORTS,Allée Gabriel Biénès,31400.0,TOULOUSE,Non,Non,Non,Oui,Oui,Oui,Non,Non,43.595042, 1.419562
gymnastique volontaire,ASCM - ASSOCIATION SPORTIVE ET CULTURELLE MONTAUDRAN,,Montaudran Lespinet,Nouveau Complexe Municipal,Centre d'animation Montaudran,Impasse Gaston Genin,31400.0,TOULOUSE,Non,Non,Non,Non,Oui,Oui,Oui,Non,43.573964, 1.48466
POLO,CAPITOLE POLO,www.francepolo.com,,,,,,,Non,Non,Oui,Non,Oui,Oui,Oui,Non,43.604268, 1.441019
